onset	duration	trial_type	value
5.474	0.0	startIntro	
13.091	0.0	TrialProc	36
40.491	0.0	TrialProc	25
58.691	0.0	TrialProc	23
71.358	0.0	TrialProc	28
83.375	0.0	TrialProc	41
95.959	0.0	TrialProc	35
107.809	0.0	TrialProc	38
119.309	0.0	TrialProc	24
131.026	0.0	TrialProc	28
142.243	0.0	TrialProc	31
153.51	0.0	TrialProc	22
165.043	0.0	TrialProc	21
176.143	0.0	TrialProc	31
188.543	0.0	TrialProc	26
200.727	0.0	TrialProc	34
212.061	0.0	TrialProc	23
224.394	0.0	TrialProc	33
236.144	0.0	TrialProc	32
247.561	0.0	TrialProc	22
258.628	0.0	TrialProc	37
270.811	0.0	TrialProc	47
280.945	0.0	TrialProc	21
293.095	0.0	TrialProc	45
306.162	0.0	TrialProc	29
319.212	0.0	TrialProc	33
330.346	0.0	TrialProc	30
341.812	0.0	TrialProc	30
352.829	0.0	TrialProc	27
366.946	0.0	TrialProc	23
377.83	0.0	TrialProc	23
389.297	0.0	TrialProc	27
400.68	0.0	TrialProc	44
411.113	0.0	TrialProc	21
422.397	0.0	TrialProc	39
433.897	0.0	TrialProc	26
445.264	0.0	TrialProc	24
456.564	0.0	TrialProc	46
467.731	0.0	TrialProc	23
479.515	0.0	TrialProc	40
490.948	0.0	TrialProc	23
501.615	0.0	TrialProc	25
512.148	0.0	TrialProc	22
522.765	0.0	TrialProc	34
533.382	0.0	TrialProc	29
543.982	0.0	TrialProc	35
554.482	0.0	TrialProc	32
565.183	0.0	TrialProc	43
585.583	0.0	TrialProc	42
597.0	1.97	BlockProc	
599.133	0.0	TrialProc	39
610.117	0.0	TrialProc	37
619.167	0.0	TrialProc	30
630.567	0.0	TrialProc	23
641.534	0.0	TrialProc	27
652.767	0.0	TrialProc	28
663.651	0.0	TrialProc	22
675.651	0.0	TrialProc	23
686.301	0.0	TrialProc	25
697.501	0.0	TrialProc	29
708.885	0.0	TrialProc	46
720.218	0.0	TrialProc	21
730.885	0.0	TrialProc	24
741.619	0.0	TrialProc	24
752.552	0.0	TrialProc	32
763.386	0.0	TrialProc	31
774.419	0.0	TrialProc	43
785.753	0.0	TrialProc	33
797.286	0.0	TrialProc	33
809.02	0.0	TrialProc	38
820.103	0.0	TrialProc	26
832.97	0.0	TrialProc	23
843.97	0.0	TrialProc	45
855.17	0.0	TrialProc	23
868.954	0.0	TrialProc	36
880.487	0.0	TrialProc	32
891.521	0.0	TrialProc	22
902.888	0.0	TrialProc	23
914.571	0.0	TrialProc	21
925.521	0.0	TrialProc	26
938.722	0.0	TrialProc	31
949.855	0.0	TrialProc	22
961.172	0.0	TrialProc	34
972.439	0.0	TrialProc	40
983.339	0.0	TrialProc	28
994.306	0.0	TrialProc	35
1005.323	0.0	TrialProc	23
1016.073	0.0	TrialProc	21
1027.973	0.0	TrialProc	30
1039.356	0.0	TrialProc	42
1050.207	0.0	TrialProc	41
1061.19	0.0	TrialProc	27
1072.574	0.0	TrialProc	29
1083.64	0.0	TrialProc	35
1094.724	0.0	TrialProc	25
1105.624	0.0	TrialProc	34
1116.541	0.0	TrialProc	47
1128.741	0.0	TrialProc	44
1139.775	2.013	BlockProc	
1141.958	0.0	TrialProc	40
1152.475	0.0	TrialProc	28
1164.458	0.0	TrialProc	23
1175.258	0.0	TrialProc	23
1186.692	0.0	TrialProc	24
1197.792	0.0	TrialProc	29
1208.759	0.0	TrialProc	25
1222.143	0.0	TrialProc	21
1233.159	0.0	TrialProc	45
1244.193	0.0	TrialProc	33
1255.926	0.0	TrialProc	23
1267.627	0.0	TrialProc	23
1279.527	0.0	TrialProc	27
1291.16	0.0	TrialProc	35
1302.377	0.0	TrialProc	24
1313.344	0.0	TrialProc	22
1324.427	0.0	TrialProc	32
1335.478	0.0	TrialProc	31
1346.044	0.0	TrialProc	27
1357.328	0.0	TrialProc	25
1368.511	0.0	TrialProc	46
1379.712	0.0	TrialProc	32
1391.245	0.0	TrialProc	33
1402.562	0.0	TrialProc	36
1413.995	0.0	TrialProc	23
1424.679	0.0	TrialProc	35
1436.646	0.0	TrialProc	29
1447.829	0.0	TrialProc	22
1458.996	0.0	TrialProc	41
1469.813	0.0	TrialProc	47
1480.846	0.0	TrialProc	21
1492.213	0.0	TrialProc	30
1503.314	0.0	TrialProc	43
1514.764	0.0	TrialProc	42
1525.614	0.0	TrialProc	26
1536.664	0.0	TrialProc	39
1549.747	0.0	TrialProc	34
1560.698	0.0	TrialProc	31
1571.965	0.0	TrialProc	37
1583.348	0.0	TrialProc	30
1594.615	0.0	TrialProc	23
1605.215	0.0	TrialProc	44
1616.448	0.0	TrialProc	21
1627.182	0.0	TrialProc	28
1639.049	0.0	TrialProc	38
1650.232	0.0	TrialProc	26
1661.282	0.0	TrialProc	22
1671.783	0.0	TrialProc	34
1681.833	3.02	BlockProc	
1685.033	0.0	TrialProc	31
1696.05	0.0	TrialProc	44
1708.067	0.0	TrialProc	39
1718.983	0.0	TrialProc	30
1729.7	0.0	TrialProc	32
1740.784	0.0	TrialProc	29
1751.984	0.0	TrialProc	28
1762.984	0.0	TrialProc	22
1775.384	0.0	TrialProc	31
1785.968	0.0	TrialProc	23
1796.868	0.0	TrialProc	21
1808.201	0.0	TrialProc	23
1819.685	0.0	TrialProc	35
1830.835	0.0	TrialProc	46
1841.919	0.0	TrialProc	33
1852.652	0.0	TrialProc	42
1863.419	0.0	TrialProc	47
1874.602	0.0	TrialProc	32
1889.053	0.0	TrialProc	41
1900.403	0.0	TrialProc	22
1912.92	0.0	TrialProc	24
1923.537	0.0	TrialProc	26
1934.687	0.0	TrialProc	21
1945.454	0.0	TrialProc	45
1960.77	0.0	TrialProc	33
1971.971	0.0	TrialProc	21
1983.254	0.0	TrialProc	36
1994.671	0.0	TrialProc	43
2005.788	0.0	TrialProc	25
2016.305	0.0	TrialProc	27
2027.221	0.0	TrialProc	28
2038.105	0.0	TrialProc	35
2049.222	0.0	TrialProc	27
2060.489	0.0	TrialProc	30
2071.389	0.0	TrialProc	22
2082.406	0.0	TrialProc	24
2094.289	0.0	TrialProc	25
2107.189	0.0	TrialProc	23
2117.989	0.0	TrialProc	26
2128.64	0.0	TrialProc	34
2140.173	0.0	TrialProc	34
2150.307	0.0	TrialProc	23
2161.407	0.0	TrialProc	37
2172.707	0.0	TrialProc	38
2184.657	0.0	TrialProc	23
2195.591	0.0	TrialProc	40
2206.774	0.0	TrialProc	23
2219.891	0.0	TrialProc	29
2230.975	3.528	BlockProc	
